,AClass,BClass,ID,Name
map00515,Metabolism,Glycan biosynthesis and metabolism,map00515,Mannose type O-glycan biosynthesis
map05130,Human Diseases,Infectious disease: bacterial,map05130,Pathogenic Escherichia coli infection
map04621,Organismal Systems,Immune system,map04621,NOD-like receptor signaling pathway
map00254,Metabolism,Biosynthesis of other secondary metabolites,map00254,Aflatoxin biosynthesis
map04923,Organismal Systems,Endocrine system,map04923,Regulation of lipolysis in adipocytes
map00563,Metabolism,Glycan biosynthesis and metabolism,map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map00904,Metabolism,Metabolism of terpenoids and polyketides,map00904,Diterpenoid biosynthesis
map04927,Organismal Systems,Endocrine system,map04927,Cortisol synthesis and secretion
map00190,Metabolism,Energy metabolism,map00190,Oxidative phosphorylation
map05231,Human Diseases,Cancer: overview,map05231,Choline metabolism in cancer
map00572,Metabolism,Glycan biosynthesis and metabolism,map00572,Arabinogalactan biosynthesis - Mycobacterium
map03020,Genetic Information Processing,Transcription,map03020,RNA polymerase
map02060,Environmental Information Processing,Membrane transport,map02060,Phosphotransferase system (PTS)
map04612,Organismal Systems,Immune system,map04612,Antigen processing and presentation
map05410,Human Diseases,Cardiovascular disease,map05410,Hypertrophic cardiomyopathy
map00521,Metabolism,Biosynthesis of other secondary metabolites,map00521,Streptomycin biosynthesis
map05016,Human Diseases,Neurodegenerative disease,map05016,Huntington disease
map04623,Organismal Systems,Immune system,map04623,Cytosolic DNA-sensing pathway
map01056,Metabolism,Metabolism of terpenoids and polyketides,map01056,Biosynthesis of type II polyketide backbone
map00532,Metabolism,Glycan biosynthesis and metabolism,map00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
map00333,Metabolism,Biosynthesis of other secondary metabolites,map00333,Prodigiosin biosynthesis
map04380,Organismal Systems,Development and regeneration,map04380,Osteoclast differentiation
map00020,Metabolism,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle)
map00550,Metabolism,Glycan biosynthesis and metabolism,map00550,Peptidoglycan biosynthesis
map04213,Organismal Systems,Aging,map04213,Longevity regulating pathway - multiple species
map02025,Cellular Processes,Cellular community - prokaryotes,map02025,Biofilm formation - Pseudomonas aeruginosa
map04925,Organismal Systems,Endocrine system,map04925,Aldosterone synthesis and secretion
map04970,Organismal Systems,Digestive system,map04970,Salivary secretion
map04975,Organismal Systems,Digestive system,map04975,Fat digestion and absorption
