	ID	KO	N_control	N_disease	AveExpr_control	AveExpr_disease	FC	P.Value
K11690	K11690	"K11690: C4-dicarboxylate transporter, DctM subunit"	72	14	0.000223455	5.68E-05	0.254282382	4.69E-05
K19510	K19510	K19510: NO_NAME	72	14	8.63E-05	4.68E-06	0.054256477	5.72E-05
K02278	K02278	K02278: prepilin peptidase CpaA	72	14	0.000203865	4.80E-05	0.235507524	6.16E-05
K01209	K01209	K01209: alpha-N-arabinofuranosidase [EC:3.2.1.55]	72	14	0.000619192	0.000179432	0.289784945	7.69E-05
K02172	K02172	K02172: bla regulator protein blaR1	72	14	0.000135228	3.11E-05	0.229791223	7.69E-05
K08978	K08978	K08978: putative membrane protein	72	14	0.00029417	6.85E-05	0.23292157	0.000102905
K06410	K06410	K06410: dipicolinate synthase subunit A	72	14	0.000277424	7.26E-05	0.261742149	0.000113274
K06310	K06310	K06310: spore germination protein	72	14	0.000189183	5.04E-05	0.26617761	0.000124624
K08384	K08384	K08384: stage V sporulation protein D (sporulation-specific	72	14	0.000308429	9.78E-05	0.316931325	0.000130692
K17235	K17235	K17235: arabinosaccharide transport system permease protein	72	14	5.80E-05	1.04E-05	0.180164971	0.00013383
K02203	K02203	K02203: phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	72	14	0.000181037	4.63E-05	0.255908446	0.000143675
K06394	K06394	K06394: stage III sporulation protein AE	72	14	0.000280235	8.29E-05	0.295813522	0.000150613
K07502	K07502	K07502: hypothetical protein	72	14	0.000207849	6.18E-05	0.297530533	0.000161613
K03612	K03612	K03612: electron transport complex protein RnfG	72	14	0.000392442	0.000206917	0.527255579	0.000165445
K00248	K00248	K00248: butyryl-CoA dehydrogenase [EC:1.3.8.1]	72	14	0.000191583	5.73E-05	0.299308314	0.000194759
K19508	K19508	"K19508: PTS system, fructoselysine/glucoselysine-specific IIC component"	72	14	8.49E-05	1.04E-05	0.12206636	0.000194759
K00096	K00096	K00096: glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	72	14	0.000199216	5.28E-05	0.265179899	0.000203991
K01198	K01198	"K01198: xylan 1,4-beta-xylosidase [EC:3.2.1.37]"	72	14	0.000553686	0.000182465	0.329546498	0.00020876
K07033	K07033	K07033: NO_NAME	72	14	0.00016197	3.65E-05	0.225601434	0.000218613
K18149	K18149	K18149: penicillin-binding protein	72	14	0.000160216	4.17E-05	0.26036438	0.000228902
K10560	K10560	K10560: rhamnose transport system permease protein	72	14	1.85E-05	2.65E-06	0.14324946	0.000234216
K07777	K07777	"K07777: two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]"	72	14	0.000193341	5.20E-05	0.269016675	0.000239644
K06012	K06012	K06012: spore protease	72	14	0.000245054	7.28E-05	0.297177142	0.000250858
K18349	K18349	"K18349: two-component system, OmpR family, response regulator VanR"	72	14	0.000289942	6.97E-05	0.24024334	0.000262563
K17236	K17236	K17236: arabinosaccharide transport system permease protein	72	14	5.62E-05	1.30E-05	0.230820179	0.000268605
K03394	K03394	K03394: precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]	72	14	0.000207638	6.13E-05	0.295333823	0.000274777
K06298	K06298	K06298: germination protein M	72	14	0.000171959	4.74E-05	0.275371558	0.000281083
K16899	K16899	K16899: NO_NAME	72	14	0.000253149	8.23E-05	0.325208685	0.000287523
K13626	K13626	K13626: NO_NAME	72	14	0.000225682	5.83E-05	0.258398837	0.000300822
K03406	K03406	K03406: methyl-accepting chemotaxis protein	72	14	0.001406444	0.000444159	0.315803026	0.000300822
K12257	K12257	K12257: SecD/SecF fusion protein	72	14	0.000294694	0.000105193	0.356957177	0.000300822
K03696	K03696	K03696: ATP-dependent Clp protease ATP-binding subunit ClpC	72	14	0.000212245	6.79E-05	0.319707781	0.000307685
K03716	K03716	K03716: spore photoproduct lyase	72	14	0.000151646	3.69E-05	0.243313564	0.000314694
K06411	K06411	K06411: dipicolinate synthase subunit B	72	14	0.000154755	4.57E-05	0.295261335	0.000321853
K00805	K00805	K00805: heptaprenyl diphosphate synthase [EC:2.5.1.30]	72	14	0.000362323	0.000128006	0.35329238	0.000329164
K15531	K15531	K15531: NO_NAME	72	14	0.000210004	6.92E-05	0.329281473	0.00033663
K19504	K19504	K19504: NO_NAME	72	14	6.44E-05	1.29E-06	0.020101615	0.00035999
K03763	K03763	"K03763: DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]"	72	14	0.000271658	8.64E-05	0.318053051	0.00035999
K12573	K12573	K12573: ribonuclease R [EC:3.1.-.-]	72	14	0.000270437	9.94E-05	0.36749885	0.0003935
K10190	K10190	K10190: lactose/L-arabinose transport system permease protein	72	14	0.000122305	2.93E-05	0.239676463	0.0003935
K06385	K06385	K06385: stage II sporulation protein P	72	14	0.000247576	8.25E-05	0.333050145	0.0003935
K07080	K07080	K07080: NO_NAME	72	14	0.000244484	7.79E-05	0.318565985	0.0003935
K02004	K02004	K02004: NO_NAME	72	14	0.004905199	0.002749541	0.560536009	0.000411327
K12308	K12308	K12308: beta-galactosidase [EC:3.2.1.23]	72	14	0.000399314	0.000167133	0.418551173	0.000411327
K07003	K07003	K07003: NO_NAME	72	14	0.000402002	0.000143927	0.358025841	0.000420521
K06923	K06923	K06923: NO_NAME	72	14	0.000356376	0.000142872	0.400901889	0.000429907
K08681	K08681	K08681: 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]	72	14	0.000229111	7.83E-05	0.341766763	0.000429907
K03415	K03415	"K03415: two-component system, chemotaxis family, response regulator CheV"	72	14	0.000183109	5.34E-05	0.291511364	0.000439488
K01338	K01338	K01338: ATP-dependent Lon protease [EC:3.4.21.53]	72	14	0.000482704	0.000177837	0.368418014	0.000449267
K01715	K01715	K01715: enoyl-CoA hydratase [EC:4.2.1.17]	72	14	0.000344032	0.00013132	0.381709293	0.000449267
