Name,Genes (tot),Stat (dist.dir.up),p (dist.dir.up),p adj (dist.dir.up),Stat (dist.dir.dn),p (dist.dir.dn),p adj (dist.dir.dn),Stat (non-dir.),p (non-dir.),p adj (non-dir.),Genes (up),Stat (mix.dir.up),p (mix.dir.up),p adj (mix.dir.up),Genes (down),Stat (mix.dir.dn),p (mix.dir.dn),p adj (mix.dir.dn)
map00515,1,-0.81299,0.72861,1,0.81299,0.27139,0.56121,0.21156,0.46986,1,0,NA,NA,NA,1,0.21156,0.44513,1
map05130,30,-1.1757,0.7218,1,1.1757,0.2782,0.56245,-1.8425,0.98163,1,8,-0.55298,0.88958,1,22,-1.8181,0.93329,1
map04621,13,-2.2743,0.9611,1,2.2743,0.038899,0.48889,0.27009,0.49729,1,3,-0.76808,0.87338,1,10,0.72865,0.23425,1
map00254,1,-0.88903,0.7503,1,0.88903,0.2497,0.55637,0.32131,0.43173,1,0,NA,NA,NA,1,0.32131,0.40866,1
map04923,1,-0.4913,0.6278,1,0.4913,0.3722,0.59845,-0.31393,0.65015,1,0,NA,NA,NA,1,-0.31393,0.62075,1
map00563,23,-1.1147,0.7233,1,1.1147,0.2767,0.56245,-2.8884,0.99884,1,3,-0.16836,0.7,1,20,-3.0323,0.99067,1
map04927,1,-0.4913,0.6278,1,0.4913,0.3722,0.59845,-0.31393,0.65015,1,0,NA,NA,NA,1,-0.31393,0.62075,1
map00190,142,-0.23952,0.23967,1,0.23952,0.76033,0.90711,-2.1724,0.9978,1,47,2.4629,0.18226,1,95,-4.3883,0.99981,1
map05231,11,-2.1039,0.94803,1,2.1039,0.051971,0.48889,-0.37791,0.7321,1,1,-1.512,0.95172,1,10,0.081792,0.42474,1
map00572,2,0.33913,0.30545,1,-0.33913,0.69455,0.85515,1.0074,0.22308,1,1,1.0213,0.21328,1,1,0.40326,0.38191,1
map03020,38,-2.1301,0.9248,1,2.1301,0.075203,0.48889,-3.1954,0.99958,1,3,0.009336,0.63354,1,35,-3.3323,0.99482,1
map02060,58,-2.4007,0.93733,1,2.4007,0.062667,0.48889,3.5704,0.0053644,0.19995,31,0.12818,0.91393,1,27,5.0957,4.58E-05,0.004524
map04612,4,-0.28074,0.52752,1,0.28074,0.47248,0.67766,-0.1882,0.65891,1,2,-0.59439,0.81888,1,2,0.32823,0.36209,1
map05410,1,-0.15792,0.51322,1,0.15792,0.48678,0.67766,-1.148,0.86821,1,0,NA,NA,NA,1,-1.148,0.84481,1
map00521,11,-1.0122,0.73545,1,1.0122,0.26455,0.55928,1.175,0.21519,1,4,0.59816,0.45414,1,7,1.0208,0.19033,1
map05016,107,-1.9219,0.83933,1,1.9219,0.16067,0.48889,-5.51,1,1,19,-0.015224,0.86317,1,88,-6.0687,1,1
map04623,14,-1.1521,0.77932,1,1.1521,0.22068,0.5197,-2.7407,0.99612,1,1,-0.83063,0.84156,1,13,-2.6138,0.97724,1
map00333,3,-0.60108,0.67485,1,0.60108,0.32515,0.57711,2.2577,0.021936,0.46781,1,1.7301,0.069122,1,2,1.5418,0.091068,0.79938
map04380,4,-0.7896,0.69455,1,0.7896,0.30545,0.57711,-1.223,0.91093,1,0,NA,NA,NA,4,-1.223,0.82942,1
map00020,50,0.73947,0.11076,1,-0.73947,0.88924,0.96965,2.3972,0.059178,0.83666,29,1.5608,0.39379,1,21,1.8649,0.061417,0.63841
map00550,36,-2.4877,0.95931,1,2.4877,0.040686,0.48889,3.0605,0.017236,0.39259,13,1.3342,0.3268,1,23,2.8259,0.0069302,0.15057
